country,China,Mexico,Japan,Indonesia,Korea,All other
year_1996,743760883,1286564639,2778090961,320096446,1516883545,4683211534
year_1997,579931154,700095224,2165590398,228657408,674142911,3724412871
year_1998,170498433,1225126882,1740197951,153187290,731435839,3086947924
year_1999,40134754,830555180,1524123382,96776091,640773850,2920573175
year_2000,59649538,1006755845,1560850072,195211744,303096045,3419308685
year_2001,47218585,1052125572,1440177728,238215328,437876164,3623467103
year_2002,143172950,934647829,1654315393,195056581,187736967,3925113450
year_2003,737755897,1111994467,1699318159,253445779,151563094,4179187357
year_2004,1417472433,1200410960,1980906263,298664299,701652906,4585347887
year_2005,1397805881,1068212922,1673083059,286501886,392153052,4107656548
year_2006,2088883846,1553598665,2065206083,393999238,829896953,4930615564
year_2007,1472670864,2061590233,2741469941,369049759,970840950,7300721114
year_2008,1645922944,3050418622,4020230664,494288158,2328242066,7867116555
year_2009,1016455231,2046920159,2903880875,274703151,1255501463,5792540716
year_2010,3005064379,2481159931,3100869380,384410120,1681177572,6778864154
year_2011,3811022247,3894798567,4018977461,709493017,2315256262,9361675673
year_2012,20454473056,6753567048,5387094896,1474596192,1926668490,15253847158
year_2013,19248866761,5284521791,4133137063,1557188095,1167483868,16265742968
year_2014,18598462600,5768249939,4852347944,1707606621,2212851948,18215098507
year_2015,15454933117,5133066701,3947794540,1252189006,1567902440,14738521226
year_2016,16517800743,5477476587,3828148186,1655254641,1685274533,16504984938
year_2017,14731854636,5974898951,4037234354,1861244327,1746204772,17352658707
