country,China,Canada,Brazil,Mexico,Korea,All other
year_1996,121751663,1306478842,591982738,579466594,327834274,4495814455
year_1997,87818917,1232011897,675050494,612069325,374087772,4654721008
year_1998,127258881,1223877197,565238025,567732674,699425161,6466189557
year_1999,145436780,1217762806,584856974,544543582,513241310,4293014332
year_2000,331122507,1349851573,752349818,622037334,485335540,5527558496
year_2001,135249302,1196428551,484005517,499071508,284761337,3508215326
year_2002,200204122,1478476148,659533702,739283161,337397319,3693178222
year_2003,157609645,1284727673,460510954,695109738,260463188,2768815025
year_2004,532804469,1705066197,949359212,1526021367,456251441,6878503290
year_2005,830401775,2126426625,917960428,1543906206,577011588,6560606857
year_2006,1303431929,2263842485,823221835,1445020772,933544935,9815735867
year_2007,1891541661,3403841641,826378488,1655820133,1035251026,8521882827
year_2008,3375373499,4472592744,786541493,2429677905,1533260643,10285202439
year_2009,1318045490,2138534805,280245138,906319502,753374767,4409932700
year_2010,350087820,3631589540,529080630,1539680418,1222799474,7212976632
year_2011,490897627,3771075442,1951260418,1992306123,2085421432,9446382752
year_2012,550566197,3620011015,2235078691,1781963252,2565206421,11259978087
year_2013,442310853,3219889046,1956507259,1908598062,2337383530,8911420974
year_2014,563520859,3572071685,2450458677,2420950071,3388411212,12670158316
year_2015,458495516,2831349465,1979494037,1714919806,2582969352,9830119950
year_2016,348622960,2319200106,1352309487,1588627493,1668879041,6925441823
year_2017,457631606,3138236612,2082126443,2048976111,2023980187,9269379395
